hometype,price,beds,baths,neighborhood,sqft,age
Condo/Co-op,1275000,2,2,Yerba Buena,1069,18
Single Family Residential,1425000,2,1,Glen Park,942,68
Condo/Co-op,1260000,2,1,North Panhandle,1160,110
Condo/Co-op,1400000,2,1,Bernal Heights,1164,108
Condo/Co-op,1405000,2,2,Mission Bay,1141,6
Condo/Co-op,1470000,2,2,Mission Bay,1240,6
Condo/Co-op,1378500,2,2,South Beach,1517,14
Condo/Co-op,1250000,2,2,South Beach,1127,18
Condo/Co-op,1390000,2,2,Mission Bay,1450,14
Condo/Co-op,1500000,2,2,Mission Bay,1488,14
Single Family Residential,1500000,2,1,Noe Valley,1152,78
Condo/Co-op,1470000,2,1,Nob Hill,1333,109
Condo/Co-op,1305000,2,1,Jordan Park/Laurel Heights,1281,118
Condo/Co-op,1275000,2,2,Central Waterfront,869,0
Single Family Residential,1360000,2,1,Mount Davidson Manor,1250,90
Single Family Residential,1300000,2,1,Central Richmond,1050,97
Single Family Residential,1300000,2,1,Outer Richmond,1150,93
Single Family Residential,1400000,2,1,Central Richmond,1550,99
Condo/Co-op,1340000,2,1.5,Western Addition,989,118
Condo/Co-op,1450000,2,2,Duboce Triangle,910,4
Single Family Residential,1250000,2,1,Outer Sunset,1360,108
Single Family Residential,1400000,2,1.5,Inner Sunset,1036,67
Condo/Co-op,1500000,2,1,Potrero Hill,1331,93
Condo/Co-op,1333000,2,2,Inner Mission,1021,3
Condo/Co-op,1440000,2,2.5,,1457,17
Single Family Residential,1500000,2,2,Bernal Heights,1385,111
Condo/Co-op,1252000,2,1.5,Russian Hill,1400,104
Condo/Co-op,1260000,2,1.5,Inner Mission,1090,118
Condo/Co-op,1450000,2,2,Yerba Buena,1440,8
Single Family Residential,1337000,2,1,Mount Davidson Manor,1249,91
Single Family Residential,1274000,2,1,Inner Sunset,1054,96
Single Family Residential,1450000,2,1,Central Sunset,1250,96
Condo/Co-op,1288168,2,2,Yerba Buena,1101,18
Condo/Co-op,1250000,2,2,North Panhandle,1042,16
Condo/Co-op,1450000,2,2,Haight Ashbury,1306,24
Condo/Co-op,1280000,2,2,Mission Bay,1122,14
Condo/Co-op,1261000,2,2,Yerba Buena,1296,17
