personid,expgroup,performance,performance_pre,age,tenure,grosswage,children,commute,married
38018,1,-.77836788,.12782851,25,78,2.4711423,0,120,0
38022,1,-.70219392,-.065893233,18,11,1.9928434,0,20,0
38024,2,.94682163,-.16710941,25,11,2.6940653,0,40,0
38028,1,1.6351235,1.2408035,21,11,4.081461,0,20,0
38030,2,-1.0235006,-.38228357,27,11,2.2042091,0,240,0
38034,2,-1.2453079,-.51667172,19,11,1.8545834,0,40,0
38036,0,-1.6908995,-.79721391,18,11,1.9276143,0,120,0
38038,1,-.31507087,-.062686689,35,11,3.7505789,1,50,1
38040,1,.11088655,.15841934,22,11,2.4195065,0,120,1
38042,1,-.94148272,-.49006405,20,11,2.1565979,0,180,0
38046,0,-.67371649,-.37941298,21,11,2.5232611,0,180,0
38052,1,-.08543276,.05756535,18,11,2.0711598,0,90,0
38070,1,-.8491447,-.17907135,18,11,2.1282835,0,180,0
38074,0,-.52206731,.20807445,27,11,2.3509421,1,140,1
38076,2,-.54460454,-.48474342,23,11,3.7066898,0,60,0
38290,1,.31043136,-.087636046,21,11,2.2940667,0,20,0
38552,0,-1.0306605,-.4631035,23,10,3.5765367,0,30,0
38566,1,.6470803,.22880225,22,10,2.6179056,0,300,1
38580,1,.87686503,.82021827,22,10,3.1737044,0,150,0
38712,1,.34279171,.10436352,22,10,2.408632,0,60,0
38842,0,-2.605973,-.21442062,19,10,2.0195177,0,140,0
38862,0,-.54256821,-.25767687,19,10,2.0092523,0,20,0
38868,2,-.82208472,.1628156,22,10,2.5090065,0,93,0
38874,2,-.66343099,-.35031548,19,10,1.9677378,0,240,0
38878,1,.82852674,.63494962,25,10,2.7521698,0,180,0
38888,2,-.12053904,-.046171516,19,10,2.2233968,0,240,0
38896,2,-.54123527,-.53018248,18,10,2.0856776,0,20,0
38898,1,.37091333,.1211164,22,10,2.3294411,0,30,0
39048,2,-.6931107,.22100209,22,10,2.6040044,0,50,0
39094,2,-1.0994827,-.33216351,22,10,2.432162,0,60,0
39096,1,.022200564,.23334491,25,10,2.4575953,0,200,0
39098,2,-1.0216494,-.0036299881,22,10,2.4851246,0,90,0
39116,2,.19990185,.39843991,18,10,2.3208389,0,90,0
39136,2,-.56881392,-.40298349,18,10,2.141531,0,300,0
39144,0,.095496282,.20614433,18,10,2.307771,0,135,0
39164,0,-.05752359,-.21772946,19,10,1.9574367,0,60,0
39430,2,-.73197705,-.023632925,22,9,2.5638165,0,150,0
39458,0,-.0995996,-.31212568,21,9,2.0327144,0,180,0
39466,0,-.2191744,-.15133192,19,9,2.3777688,0,90,0
39478,0,-.59236425,.15249737,22,9,2.4869344,0,140,0
39490,0,.35057124,.5906688,23,9,2.8580811,0,80,0
39500,2,-.72484469,-.34726763,24,9,2.4607244,0,110,0
39502,0,-.8861652,-.35917324,19,9,2.1813598,0,180,0
39512,1,.20290641,.2523199,19,9,2.7819822,0,120,0
39516,2,.10740677,.39960328,23,9,2.7643232,0,90,0
39524,2,-.6448549,-.027632469,21,9,2.1915989,0,20,0
39530,1,-1.3469224,-.12125172,21,9,2.7322366,0,180,0
39540,2,.091564082,1.1229138,20,9,3.392601,0,180,0
39548,1,.0097517334,-.097418249,26,9,2.2523489,0,120,0
39626,2,.084330678,.38962492,21,9,2.5800779,0,35,0
39634,1,1.2433604,1.5389206,20,9,3.3516254,0,28,0
39748,0,.24432969,.41374972,22,9,2.5558746,1,60,1
39754,2,-1.022216,-.17670363,21,9,2.9838223,0,40,0
39798,2,-.80254072,-.074847013,18,9,1.9838089,0,30,0
39938,2,-.0027852955,1.1988701,23,9,2.7840788,0,60,0
39942,1,.043762628,-.64123964,28,9,2.2076132,1,100,1
39972,2,.26440516,.15967765,23,9,2.5542045,0,40,0
39990,1,-.34643254,-.29207823,24,9,2.6146433,0,40,0
40008,0,-.12242322,.73815203,20,9,2.6680057,0,120,0
40018,2,-.24237356,.017773999,22,9,2.4765911,0,120,0
40034,0,-.23483653,.092525721,19,9,2.4618301,0,300,0
40062,1,-.13622242,.24164101,23,9,2.2496743,0,170,1
40076,0,-1.4861616,-.34249765,24,9,2.0681224,0,140,0
40162,0,-.090084456,.14284535,21,8,2.5025301,0,120,0
40164,1,-.24900542,.56958377,22,8,2.7391,0,180,0
40174,0,-1.4180238,.071697332,28,8,2.4065824,1,30,1
40192,1,.24816018,.24561636,23,8,2.4117811,0,180,0
40316,1,.48431841,.22923808,25,8,2.5293367,0,60,0
